frost_class1,frost_class2,frost_class3
ferroan,alkalic,peralkaline
ferroan,alkalic,peraluminous
ferroan,alkalic,metaluminous
ferroan,alkalic,
ferroan,alkali-calcic,metaluminous
ferroan,alkali-calcic,peraluminous
ferroan,alkali-calcic,
ferroan,calc-alkalic,metaluminous
ferroan,calc-alkalic,peraluminous
ferroan,calc-alkalic,
ferroan,calcic,peraluminous
ferroan,calcic,metaluminous
ferroan,calcic,
ferroan,,
magnesian,alkalic,peraluminous
magnesian,alkalic,metaluminous
magnesian,alkalic,peralkaline
magnesian,alkalic,
magnesian,alkali-calcic,metaluminous
magnesian,alkali-calcic,peraluminous
magnesian,alkali-calcic,
magnesian,calc-alkalic,metaluminous
magnesian,calc-alkalic,peraluminous
magnesian,calc-alkalic,
magnesian,calcic,metaluminous
magnesian,calcic,peraluminous
magnesian,calcic,
magnesian,,
